id,name,artistName,desc,cover,publishTime
14703669,《Chrome Heart Freestyle》MV,GALI,「 Chrome Heart Freestyle 」（Official M/V）,http://p1.music.126.net/ZdDx-Pmtsk2uWa4sdTsUoQ==/109951169441122604.jpg,2024-03-27
14711779,名字,李荣浩,,http://p1.music.126.net/Ip_LH68j_O26cTYnb7fKww==/109951169499278606.jpg,2024-04-16
14716873,黑马,李荣浩,,http://p1.music.126.net/n8JK7l3gvopGS8ZIufwaJA==/109951169544126885.jpg,2024-04-29
14710011,小微光（电影《穿过月亮的旅行》月光希望曲）,郑润泽,「黑暗中的微光，拥抱你就是整个宇宙」 郑润泽《小微光》——电影《穿过月亮的旅行》月光希望曲 电影《穿过月亮的旅行》由李蔚然执导，张子枫、胡先煦领衔主演，改编自迟子建原著小说《踏着月光的行板》。电影讲述了一对新婚燕尔的情侣，在不同城市打工，彼此双向奔赴，但又不断擦身而行的故事。 月光希望曲《小微光》由音乐人郑润泽原创作词作曲，灵感源自于影片中两人不断错过、擦肩的时刻。在弦乐与钢琴的交织中，郑润泽用极具磁性的声线，细腻诉说着黑暗中奔向爱人炽热的心，无论身处何处，相爱的两颗心依旧会照亮彼此。 整首歌的编曲好似一部恋人间的情书，记录了他们期待相见的日复一日中，那份渐渐沉淀的思念。旋律如同时间的指针，层层推进，随着相见时刻的临近，心中不断累积着雀跃。郑润泽总能捕捉到最动人的情节，在动人的旋律中，用第一视角的感性独白将“异地”的点滴刻画出来。 短暂的分离，是在枯燥的生活里为着重逢的那一刻而努力，玫瑰花、口琴都是见证者；穿过人群，相拥的那一刻找到最熟悉的归属。后半段说唱的加入，愈加强烈的节奏中仿佛能感受到紧紧拥抱时难藏的心跳。许下仅对方知晓的誓言，热烈而直白，随着时间流转依旧最坚实的安全感。这是《穿过月亮的旅行》中林秀珊与王锐的故事，也是无论时代，无数相爱的人可以共鸣的真实缩影。 「小微光」穿越距离的阻挡，成为照亮彼此的爱。这份爱，如同月亮的微光，虽不炽烈，却足以照亮前行的道路，在这个充满不确定的世界，赋予两个人并肩同行的无限勇气与希望。,http://p1.music.126.net/aHRv8mxZhsQgHN_1VJMv4A==/109951169489305413.jpg,2024-04-12
14716228,RingGang,早安,,http://p1.music.126.net/1Q13FX_RwkKfPMPppTajZg==/109951169525738271.jpg,2024-04-25
14721900,风一样的勇士,Dungeon and Fighter,在DNF手游公测上线之际，DNF希望为万千勇士带来全新的视听体验，选取了数首经典游戏音乐进行重新编曲制作，既有非遗国风的演绎，也有现代潮流的表达，用多元风格致敬经典。,http://p1.music.126.net/QhnA9PLwKdOkzoWQqyBs4g==/109951169611138212.jpg,2024-05-17
14721774,薄荷糖,SNH48,,http://p1.music.126.net/aCkfu2oHyUm99QEp8I8eZA==/109951169606185634.jpg,2024-05-20
14716810,当 (友情版),贾冰,,http://p1.music.126.net/nFEn_kYwiHh6mzROPKg9iA==/109951169543189805.jpg,2024-04-24
14701317,寂寞列车,汪峰,,http://p1.music.126.net/sVPxJBzEbKjvqcFmRI57gg==/109951169413289322.jpg,2024-03-15
14718898,闪闪 [Official Music Video],step.jad依加,这次step.jad依加和KIDWAY“在TRAP里建立R&B的帝国”。,http://p1.music.126.net/LwnZbf4yhnj3mGweZRpAQQ==/109951169575216019.jpg,2024-04-18
14721663,茉莉,GAI周延,,http://p1.music.126.net/FRzPDn1Jy1FAXBUgdg17pQ==/109951169597776812.jpg,2024-05-19
14713177,小熊花园,张颂文,《小熊花园》是由芒果TV制作的一档无剧本即兴真人秀。节目邀请在演员行业扎根二十年、被网友亲切称为“小熊”的优秀演员张颂文与各类演员一起，共同打造一处“小熊花园”。大家在花园里即兴生活，畅叙人生路途中的收获与困顿、成长与迷茫，从一件件生活小事中收获“答案”和“力量”。,http://p1.music.126.net/XA53kYCJfbYYEKwDp16cRA==/109951169521431340.jpg,2024-04-22
14716005,人生没烦恼无限公司,宝石Gem,,http://p1.music.126.net/JLyEGGvDmzA8xIXl99YOyA==/109951169546255636.jpg,2024-04-30
14702130,赤伶 (逆水寒戏曲玩法推广曲),谭晶,逆水寒特邀国家队歌唱家“大魔王”谭晶老师演唱戏曲玩法推广曲《赤伶》，以她大气、多元的演唱风格演绎全新编曲的《赤伶》，和谭晶老师一起传承、宣传国粹文化。《逆水寒》手游同步上线心境正传剧情《赤伶》，融合戏曲、悬疑、复仇等要素，故事波澜起伏，真情动人心弦。玩家可在游戏中欣赏原声呈现的《赤伶》歌曲和精美的2D动画演出。其背后，更是一段感人至深的戏班情谊，一曲铿锵有力的家国悲歌；此前，《逆水寒》端游上线的特色戏曲玩法【梨韵阁】让玩家可在游戏中观赏国内戏曲界顶级大师动捕+原声呈现的戏曲表演；,http://p1.music.126.net/h7ayKIY6I_t6MR7dIIeyrQ==/109951169429169217.jpg,2024-03-28
